epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6202.86,1.30837,1.31638,1.42969,0.76686,0.63324,0.69305,0.43648,1.53119,1.27986,1.68333,0.000539275,0.000539275,0.000539275
43,6350.11,1.29651,1.27425,1.41092,0.77716,0.65352,0.71437,0.43316,1.60167,1.26236,1.76167,0.000511769,0.000511769,0.000511769
44,6495.97,1.28275,1.2713,1.40071,0.77694,0.66383,0.72481,0.45432,1.55028,1.2586,1.70412,0.000484263,0.000484263,0.000484263
45,6642.59,1.28577,1.24452,1.39241,0.81511,0.67132,0.73325,0.44938,1.56153,1.27356,1.70612,0.000456758,0.000456758,0.000456758
46,6789.21,1.2596,1.22378,1.37832,0.76021,0.71528,0.73035,0.45544,1.53529,1.27424,1.68379,0.000429253,0.000429253,0.000429253
47,6937.58,1.26746,1.24839,1.40016,0.72907,0.70303,0.72831,0.45752,1.54075,1.26184,1.70434,0.000401747,0.000401747,0.000401747
48,7084.63,1.24665,1.21757,1.3776,0.80699,0.66082,0.72859,0.45584,1.52836,1.22526,1.68405,0.000374242,0.000374242,0.000374242
49,7231.82,1.24987,1.22005,1.38859,0.80894,0.66384,0.72545,0.45233,1.5389,1.23935,1.69311,0.000346736,0.000346736,0.000346736
50,7378.75,1.2401,1.19227,1.37058,0.78566,0.67549,0.72709,0.44984,1.55156,1.24344,1.70148,0.000319231,0.000319231,0.000319231
51,7526.48,1.22545,1.18985,1.3673,0.80965,0.67069,0.7306,0.45785,1.53244,1.21384,1.70053,0.000291725,0.000291725,0.000291725
52,7673.53,1.21977,1.17153,1.36177,0.798,0.67923,0.72998,0.46197,1.51592,1.20909,1.68226,0.00026422,0.00026422,0.00026422
53,7820.71,1.22564,1.18449,1.35991,0.81083,0.67805,0.73903,0.46518,1.50193,1.20133,1.68438,0.000236714,0.000236714,0.000236714
54,7967.53,1.21137,1.16015,1.35592,0.8274,0.66662,0.73977,0.4618,1.5104,1.19873,1.68557,0.000209209,0.000209209,0.000209209
55,8113.41,1.21247,1.16482,1.35654,0.8087,0.68653,0.74001,0.46609,1.51915,1.18858,1.69535,0.000181703,0.000181703,0.000181703
56,8260.5,1.20342,1.15268,1.35236,0.81059,0.6962,0.74172,0.46902,1.51663,1.17851,1.68822,0.000154198,0.000154198,0.000154198
57,8406.97,1.19241,1.15547,1.34797,0.83988,0.68758,0.74892,0.46943,1.51502,1.16948,1.69228,0.000126692,0.000126692,0.000126692
58,8553.27,1.18118,1.1273,1.33093,0.80379,0.69616,0.74491,0.47401,1.50668,1.17874,1.68764,9.91865e-05,9.91865e-05,9.91865e-05
59,8701.61,1.18534,1.12304,1.33915,0.79972,0.68854,0.74457,0.47099,1.50472,1.18176,1.69305,7.1681e-05,7.1681e-05,7.1681e-05
60,8849.18,1.17377,1.1293,1.33675,0.81123,0.70004,0.74948,0.47654,1.4943,1.16832,1.68408,4.41755e-05,4.41755e-05,4.41755e-05
